name,height,reach,stance,age,weight_class,weight_class_numeric,avg_sig_str,avg_td_pct,avg_sub_att,ko_ratio,sub_ratio,defense,total_fights,win_streak
Klidson Abreu,182.88,187.96,Orthodox,27,Light Heavyweight,7,2.02,0.2,0.0,0.0,0.0,2.5,9,0
Ray Borg,162.56,160.02,Orthodox,26,Bantamweight,2,1.36,0.51,1.1,0.0,0.2857142857142857,2.5,33,2
Elizeu Dos Santos,180.34,185.42,Orthodox,33,Welterweight,5,4.18,0.14,0.6,0.42857142857142855,0.14285714285714285,2.5,22,0
Aleksei Kunchenko,172.72,177.8,Orthodox,35,Welterweight,5,3.62,0.33,0.0,0.0,0.0,2.5,9,0
Veronica Macedo,162.56,162.56,Southpaw,24,Women's Bantamweight,4,1.9,1.0,0.8,0.0,1.0,2.5,9,1
Yoel Romero,182.88,185.42,Southpaw,42,Middleweight,6,3.71,0.31,0.0,0.7777777777777778,0.0,2.5,40,0
Weili Zhang,162.56,160.02,Switch,30,Women's Strawweight,4,6.22,0.3,0.9,0.25,0.25,2.5,8,4
Saparbeg Safarov,185.42,198.12,Orthodox,33,Middleweight,6,4.29,0.41,0.0,0.0,0.0,2.5,6,1
Gabriel Silva,167.64,180.34,Orthodox,25,Bantamweight,2,0.53,0.16,0.0,0.0,0.0,2.5,3,0
Jim Crute,187.96,187.96,Orthodox,23,Light Heavyweight,7,4.56,1.0,2.3,0.5,0.5,2.5,5,0
